nama,harga,rating,jumlah_review,link,wilayah
Home in Sumurbandung - 4BR Villa at Braga Street,"Rp 14,264,713",4.78,18,https://www.airbnb.com/rooms/1406110026382084191,Kota Bandung
Apartment in Kecamatan Sumur Bandung - The Royale Apartment Bandung,"Rp 2,828,178",4.9,164,https://www.airbnb.com/rooms/43559879,Kota Bandung
Apartment in Sukajadi - Melbourne Apartment Swimming Pool and Netflix,"Rp 2,810,067",5.0,6,https://www.airbnb.com/rooms/1703475583554621293,Kota Bandung
"Apartment in Cidadap - K&K RESIDENCE.... COZY, HOMEY, STRATEGIC","Rp 1,966,208",4.91,387,https://www.airbnb.com/rooms/29491633,Kota Bandung
Apartment in Sumurbandung - Jabez Room La Grande Apartment Jl. Merdeka Studio,"Rp 2,695,804",5.0,7,https://www.airbnb.com/rooms/1453571794403590412,Kota Bandung
Apartment in Kecamatan Cicendo - Luxury Apartement Landmark Residence Bandung 2BR,"Rp 5,263,433",4.78,151,https://www.airbnb.com/rooms/562869284671689133,Kota Bandung
"Home in Cibeunying Kidul - Highview Hills, True Bandung Raya View (+ Netflix)","Rp 3,250,000",5.0,11,https://www.airbnb.com/rooms/1705553695361449590,Kota Bandung
Apartment in Kecamatan Sukajadi - 2BR Majesty Apartment in Bandung,"Rp 2,415,065",4.96,73,https://www.airbnb.com/rooms/939717378718829513,Kota Bandung
Home in Coblong - Upper castle. 3BR full AC Dago. Quiet hours 9PM,"Rp 4,401,787",4.9,42,https://www.airbnb.com/rooms/1453189027267825458,Kota Bandung
Home in Bandung Wetan - Guesthouse Omahe Bandung,"Rp 8,497,450",4.88,297,https://www.airbnb.com/rooms/14127328,Kota Bandung
Rooms in Lengkong - Luxury Private Rooms in the heart of Bandung,"Rp 6,274,692",New,0,https://www.airbnb.com/rooms/1717224702795189302,Kota Bandung
Home in Kecamatan Cibeunying Kaler - Ilalang Tiny House,"Rp 2,900,000",4.96,73,https://www.airbnb.com/rooms/1358340431000575865,Kota Bandung
"Home in Bandung Wetan - Moozee House, Modern Home @ The Centre of Bandung","Rp 6,676,463",4.64,241,https://www.airbnb.com/rooms/14227013,Kota Bandung
Apartment in Cicendo - Hanami | 2 BR Japandi Retreat | Pasteur Gateway,"Rp 2,533,620",4.88,41,https://www.airbnb.com/rooms/1496119290075133195,Kota Bandung
Apartment in Kecamatan Coblong - SulfitLiving - 2BR Apartment Jarrdin in Cihampelas,"Rp 2,375,000",4.88,33,https://www.airbnb.com/rooms/1323534724318718711,Kota Bandung
